foundry.mjs:179488 _______________________________________________________________
 _____ ___  _   _ _   _ ____  ______   __ __     _______ _____
|  ___/ _ \| | | | \ | |  _ \|  _ \ \ / / \ \   / |_   _|_   _|
| |_ | | | | | | |  \| | | | | |_) \ V /   \ \ / /  | |   | |
|  _|| |_| | |_| | |\  | |_| |  _ < | |     \ V /   | |   | |
|_|   \___/ \___/|_| \_|____/|_| \_\|_|      \_/    |_|   |_|
===============================================================
foundry.mjs:179489 Foundry VTT | Foundry Virtual Tabletop ESModule loaded
foundry.mjs:179501 Foundry VTT | Reestablishing existing session e8206a40130d86927cf25465
foundry.mjs:167405 Foundry VTT | Connected to server socket using session e8206a40130d86927cf25465
foundry.mjs:167559 Foundry VTT | Initializing Foundry Virtual Tabletop Game
system.js:18 Neuroshima 1.5 | Inicjalizacja systemu
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/actor/parts/actor-header.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/actor/parts/actor-info.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/actor/parts/actor-attributes.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/actor/parts/actor-skills.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/actor/parts/actor-tricks.hbs
foundry.mjs:166391 Foundry VTT | Loaded localization file systems/neuroshima/lang/pl.json
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/actor/parts/actor-combat.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/actor/parts/actor-inventory.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/actor/parts/actor-notes.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/item/item-sheet.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/item/item-header.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/item/item-details.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/item/item-effects.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/item/parts/weapon-melee.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/item/parts/weapon-ranged.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/item/parts/weapon-thrown.hbs
foundry.mjs:166391 Foundry VTT | Loaded localization file lang/en.json
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/item/parts/wound-details.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/item/parts/ammo-details.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/item/parts/magazine-details.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template systems/neuroshima/templates/item/parts/ammunition-details.hbs
system.js:309 Neuroshima 1.5 | Szablony wczytane
foundry.mjs:166391 Foundry VTT | Loaded localization file systems/neuroshima/lang/en.json
foundry.mjs:166007 Foundry VTT | Synchronized official game time in 1ms
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/ui/scene-navigation.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/tabs.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/tab.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/ui/players.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/ui/hotbar.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/ui/scene-controls-layers.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/ui/scene-controls-tools.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/tabs/chat/log.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/tabs/chat/notifications.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/tabs/chat/input.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/tabs/combat/header.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/tabs/combat/tracker.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/tabs/combat/footer.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/directory/header.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/directory/directory.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/partials/scene-partial.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/partials/folder-partial.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/directory/footer.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/partials/document-partial.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/tabs/playlist/controls.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/tabs/playlist/playlist-partial.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/tabs/playlist/playing.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/tabs/playlist/sound-partial.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/tabs/compendiums.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/partials/pack-partial.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/tabs/settings.hbs
foundry.mjs:69360 Foundry VTT | Retrieved and compiled template templates/sidebar/chat-message.hbs
foundry.mjs:78486 Foundry VTT | Fonts loaded and ready.
foundry.mjs:45809 Foundry VTT | Viewing Scene Scene
foundry.mjs:96836 Foundry VTT | Drawing game canvas for scene Scene
